location,year,age,value,variant
Argentina,1950,0,205.1095,Estimates
Argentina,1951,0,209.5295,Estimates
Argentina,1952,0,212.698,Estimates
Argentina,1953,0,215.4955,Estimates
Argentina,1954,0,217.815,Estimates
Argentina,1955,0,219.9635,Estimates
Argentina,1956,0,222.588,Estimates
Argentina,1957,0,224.764,Estimates
Argentina,1958,0,225.2495,Estimates
Argentina,1959,0,227.503,Estimates
Argentina,1960,0,230.909,Estimates
Argentina,1961,0,232.2955,Estimates
Argentina,1962,0,234.2555,Estimates
Argentina,1963,0,236.562,Estimates
Argentina,1964,0,237.685,Estimates
Argentina,1965,0,236.966,Estimates
Argentina,1966,0,236.277,Estimates
Argentina,1967,0,239.2855,Estimates
Argentina,1968,0,245.372,Estimates
Argentina,1969,0,252.7725,Estimates
Argentina,1970,0,260.6175,Estimates
Argentina,1971,0,268.936,Estimates
Argentina,1972,0,277.014,Estimates
Argentina,1973,0,284.7085,Estimates
Argentina,1974,0,293.17,Estimates
Argentina,1975,0,301.2495,Estimates
Argentina,1976,0,309.251,Estimates
Argentina,1977,0,317.558,Estimates
Argentina,1978,0,323.547,Estimates
Argentina,1979,0,326.888,Estimates
Argentina,1980,0,328.7335,Estimates
Argentina,1981,0,329.0835,Estimates
Argentina,1982,0,328.707,Estimates
Argentina,1983,0,327.603,Estimates
Argentina,1984,0,327.227,Estimates
Argentina,1985,0,327.094,Estimates
Argentina,1986,0,327.9025,Estimates
Argentina,1987,0,330.5175,Estimates
Argentina,1988,0,334.375,Estimates
Argentina,1989,0,338.034,Estimates
Argentina,1990,0,342.1145,Estimates
Argentina,1991,0,346.356,Estimates
Argentina,1992,0,348.552,Estimates
Argentina,1993,0,351.0355,Estimates
Argentina,1994,0,353.337,Estimates
Argentina,1995,0,352.815,Estimates
Argentina,1996,0,349.287,Estimates
Argentina,1997,0,345.363,Estimates
Argentina,1998,0,343.438,Estimates
Argentina,1999,0,344.8325,Estimates
Argentina,2000,0,345.6695,Estimates
Argentina,2001,0,343.5225,Estimates
Argentina,2002,0,341.688,Estimates
Argentina,2003,0,340.42,Estimates
Argentina,2004,0,340.1945,Estimates
Argentina,2005,0,342.556,Estimates
Argentina,2006,0,344.471,Estimates
Argentina,2007,0,344.4885,Estimates
Argentina,2008,0,351.072,Estimates
Argentina,2009,0,357.646,Estimates
Argentina,2010,0,360.1825,Estimates
Argentina,2011,0,363.4695,Estimates
Argentina,2012,0,358.978,Estimates
Argentina,2013,0,357.965,Estimates
Argentina,2014,0,367.5385,Estimates
Argentina,2015,0,371.538,Estimates
Argentina,2016,0,362.6975,Estimates
Argentina,2017,0,350.4795,Estimates
Argentina,2018,0,338.202,Estimates
Argentina,2019,0,316.551,Estimates
Argentina,2020,0,280.055,Estimates
Argentina,2021,0,256.9565,Estimates
Argentina,2022,0,248.0945,Estimates
Argentina,2023,0,242.036,Estimates
Argentina,1950,1,198.0275,Estimates
Argentina,1951,1,201.2565,Estimates
Argentina,1952,1,205.6785,Estimates
Argentina,1953,1,208.8755,Estimates
Argentina,1954,1,211.7065,Estimates
Argentina,1955,1,214.0535,Estimates
Argentina,1956,1,216.22,Estimates
Argentina,1957,1,218.8655,Estimates
Argentina,1958,1,221.0465,Estimates
Argentina,1959,1,221.5705,Estimates
Argentina,1960,1,223.8735,Estimates
Argentina,1961,1,227.261,Estimates
Argentina,1962,1,228.688,Estimates
Argentina,1963,1,230.7205,Estimates
Argentina,1964,1,233.101,Estimates
Argentina,1965,1,234.3265,Estimates
Argentina,1966,1,233.714,Estimates
Argentina,1967,1,233.142,Estimates
Argentina,1968,1,236.241,Estimates
Argentina,1969,1,242.37,Estimates
Argentina,1970,1,249.785,Estimates
Argentina,1971,1,257.2005,Estimates
Argentina,1972,1,265.1085,Estimates
Argentina,1973,1,273.231,Estimates
Argentina,1974,1,281.0405,Estimates
Argentina,1975,1,289.917,Estimates
Argentina,1976,1,298.348,Estimates
Argentina,1977,1,306.4085,Estimates
Argentina,1978,1,314.8055,Estimates
Argentina,1979,1,320.9575,Estimates
Argentina,1980,1,324.5185,Estimates
