location,year,age,value,variant
Argentina,1950,0,212.353,Estimates
Argentina,1951,0,216.423,Estimates
Argentina,1952,0,219.823,Estimates
Argentina,1953,0,222.68,Estimates
Argentina,1954,0,224.9355,Estimates
Argentina,1955,0,227.0245,Estimates
Argentina,1956,0,229.556,Estimates
Argentina,1957,0,231.654,Estimates
Argentina,1958,0,231.9845,Estimates
Argentina,1959,0,234.2815,Estimates
Argentina,1960,0,237.912,Estimates
Argentina,1961,0,239.4165,Estimates
Argentina,1962,0,241.504,Estimates
Argentina,1963,0,243.773,Estimates
Argentina,1964,0,244.7875,Estimates
Argentina,1965,0,244.0915,Estimates
Argentina,1966,0,243.378,Estimates
Argentina,1967,0,246.248,Estimates
Argentina,1968,0,252.1075,Estimates
Argentina,1969,0,259.225,Estimates
Argentina,1970,0,267.214,Estimates
Argentina,1971,0,275.9305,Estimates
Argentina,1972,0,284.574,Estimates
Argentina,1973,0,293.2005,Estimates
Argentina,1974,0,302.701,Estimates
Argentina,1975,0,312.3065,Estimates
Argentina,1976,0,321.7935,Estimates
Argentina,1977,0,331.22,Estimates
Argentina,1978,0,338.299,Estimates
Argentina,1979,0,341.734,Estimates
Argentina,1980,0,342.677,Estimates
Argentina,1981,0,342.2525,Estimates
Argentina,1982,0,341.2535,Estimates
Argentina,1983,0,340.1965,Estimates
Argentina,1984,0,340.6855,Estimates
Argentina,1985,0,341.3975,Estimates
Argentina,1986,0,342.8715,Estimates
Argentina,1987,0,345.957,Estimates
Argentina,1988,0,350.2895,Estimates
Argentina,1989,0,354.397,Estimates
Argentina,1990,0,358.818,Estimates
Argentina,1991,0,363.391,Estimates
Argentina,1992,0,365.76,Estimates
Argentina,1993,0,368.298,Estimates
Argentina,1994,0,370.8935,Estimates
Argentina,1995,0,370.507,Estimates
Argentina,1996,0,366.64,Estimates
Argentina,1997,0,362.454,Estimates
Argentina,1998,0,360.678,Estimates
Argentina,1999,0,362.365,Estimates
Argentina,2000,0,363.188,Estimates
Argentina,2001,0,360.767,Estimates
Argentina,2002,0,358.895,Estimates
Argentina,2003,0,357.83,Estimates
Argentina,2004,0,357.899,Estimates
Argentina,2005,0,361.0935,Estimates
Argentina,2006,0,364.212,Estimates
Argentina,2007,0,365.096,Estimates
Argentina,2008,0,372.097,Estimates
Argentina,2009,0,378.673,Estimates
Argentina,2010,0,381.342,Estimates
Argentina,2011,0,385.068,Estimates
Argentina,2012,0,380.4205,Estimates
Argentina,2013,0,379.096,Estimates
Argentina,2014,0,388.75,Estimates
Argentina,2015,0,392.4545,Estimates
Argentina,2016,0,382.5965,Estimates
Argentina,2017,0,369.0125,Estimates
Argentina,2018,0,355.5515,Estimates
Argentina,2019,0,332.645,Estimates
Argentina,2020,0,294.198,Estimates
Argentina,2021,0,269.875,Estimates
Argentina,2022,0,260.499,Estimates
Argentina,2023,0,254.052,Estimates
Argentina,1950,1,203.884,Estimates
Argentina,1951,1,206.9225,Estimates
Argentina,1952,1,210.9715,Estimates
Argentina,1953,1,214.442,Estimates
Argentina,1954,1,217.391,Estimates
Argentina,1955,1,219.716,Estimates
Argentina,1956,1,221.85,Estimates
Argentina,1957,1,224.427,Estimates
Argentina,1958,1,226.564,Estimates
Argentina,1959,1,226.9655,Estimates
Argentina,1960,1,229.3165,Estimates
Argentina,1961,1,232.9405,Estimates
Argentina,1962,1,234.5075,Estimates
Argentina,1963,1,236.68,Estimates
Argentina,1964,1,239.054,Estimates
Argentina,1965,1,240.214,Estimates
Argentina,1966,1,239.671,Estimates
Argentina,1967,1,239.115,Estimates
Argentina,1968,1,242.1065,Estimates
Argentina,1969,1,248.0415,Estimates
Argentina,1970,1,255.2,Estimates
Argentina,1971,1,262.4725,Estimates
Argentina,1972,1,270.4935,Estimates
Argentina,1973,1,279.193,Estimates
Argentina,1974,1,288.0075,Estimates
Argentina,1975,1,298.3225,Estimates
Argentina,1976,1,308.643,Estimates
Argentina,1977,1,318.272,Estimates
Argentina,1978,1,327.876,Estimates
Argentina,1979,1,335.197,Estimates
Argentina,1980,1,338.9225,Estimates
Argentina,1981,1,340.1895,Estimates
Argentina,1982,1,340.065,Estimates
Argentina,1983,1,339.3345,Estimates
Argentina,1984,1,338.4855,Estimates
Argentina,1985,1,339.09,Estimates
Argentina,1986,1,339.87,Estimates
Argentina,1987,1,341.4075,Estimates
Argentina,1988,1,344.5555,Estimates
Argentina,1989,1,348.894,Estimates
Argentina,1990,1,352.974,Estimates
Argentina,1991,1,357.3255,Estimates
Argentina,1992,1,361.85,Estimates
Argentina,1993,1,364.244,Estimates
Argentina,1994,1,366.8195,Estimates
Argentina,1995,1,369.459,Estimates
Argentina,1996,1,369.136,Estimates
Argentina,1997,1,365.3495,Estimates
Argentina,1998,1,361.2365,Estimates
Argentina,1999,1,359.5025,Estimates
Argentina,2000,1,361.199,Estimates
Argentina,2001,1,362.0345,Estimates
Argentina,2002,1,359.65,Estimates
Argentina,2003,1,357.8195,Estimates
Argentina,2004,1,356.783,Estimates
Argentina,2005,1,356.88,Estimates
Argentina,2006,1,360.1015,Estimates
Argentina,2007,1,363.245,Estimates
Argentina,2008,1,364.178,Estimates
Argentina,2009,1,371.2245,Estimates
Argentina,2010,1,377.8315,Estimates
Argentina,2011,1,380.5385,Estimates
Argentina,2012,1,384.3035,Estimates
Argentina,2013,1,379.71,Estimates
Argentina,2014,1,378.4215,Estimates
Argentina,2015,1,388.077,Estimates
Argentina,2016,1,391.795,Estimates
Argentina,2017,1,381.9725,Estimates
Argentina,2018,1,368.4255,Estimates
Argentina,2019,1,354.9995,Estimates
Argentina,2020,1,332.1225,Estimates
Argentina,2021,1,293.7335,Estimates
Argentina,2022,1,269.4845,Estimates
Argentina,2023,1,260.145,Estimates
Argentina,1950,2,200.3265,Estimates
Argentina,1951,2,203.3045,Estimates
Argentina,1952,2,206.281,Estimates
Argentina,1953,2,210.2825,Estimates
Argentina,1954,2,213.709,Estimates
Argentina,1955,2,216.601,Estimates
Argentina,1956,2,218.8685,Estimates
Argentina,1957,2,220.9805,Estimates
Argentina,1958,2,223.545,Estimates
Argentina,1959,2,225.6665,Estimates
Argentina,1960,2,226.0815,Estimates
Argentina,1961,2,228.411,Estimates
Argentina,1962,2,232.02,Estimates
Argentina,1963,2,233.6045,Estimates
Argentina,1964,2,235.806,Estimates
Argentina,1965,2,238.219,Estimates
Argentina,1966,2,239.4005,Estimates
Argentina,1967,2,238.891,Estimates
Argentina,1968,2,238.393,Estimates
Argentina,1969,2,241.426,Estimates
Argentina,1970,2,247.3605,Estimates
Argentina,1971,2,254.333,Estimates
Argentina,1972,2,261.4355,Estimates
Argentina,1973,2,269.4625,Estimates
Argentina,1974,2,278.1765,Estimates
Argentina,1975,2,287.042,Estimates
Argentina,1976,2,297.3835,Estimates
Argentina,1977,2,307.694,Estimates
Argentina,1978,2,317.338,Estimates
Argentina,1979,2,327.0,Estimates
Argentina,1980,2,334.417,Estimates
Argentina,1981,2,338.28,Estimates
Argentina,1982,2,339.6775,Estimates
Argentina,1983,2,339.6725,Estimates
Argentina,1984,2,339.029,Estimates
Argentina,1985,2,338.2055,Estimates
Argentina,1986,2,338.8035,Estimates
Argentina,1987,2,339.584,Estimates
Argentina,1988,2,341.133,Estimates
Argentina,1989,2,344.25,Estimates
Argentina,1990,2,348.5285,Estimates
Argentina,1991,2,352.5165,Estimates
Argentina,1992,2,356.8075,Estimates
Argentina,1993,2,361.3285,Estimates
Argentina,1994,2,363.7235,Estimates
Argentina,1995,2,366.3025,Estimates
Argentina,1996,2,368.9525,Estimates
Argentina,1997,2,368.65,Estimates
Argentina,1998,2,364.894,Estimates
Argentina,1999,2,360.805,Estimates
Argentina,2000,2,359.0775,Estimates
Argentina,2001,2,360.7795,Estimates
Argentina,2002,2,361.61,Estimates
Argentina,2003,2,359.229,Estimates
Argentina,2004,2,357.4125,Estimates
Argentina,2005,2,356.3925,Estimates
Argentina,2006,2,356.5095,Estimates
Argentina,2007,2,359.7445,Estimates
Argentina,2008,2,362.9205,Estimates
Argentina,2009,2,363.895,Estimates
Argentina,2010,2,370.9655,Estimates
Argentina,2011,2,377.596,Estimates
Argentina,2012,2,380.3305,Estimates
Argentina,2013,2,384.122,Estimates
Argentina,2014,2,379.55,Estimates
Argentina,2015,2,378.2685,Estimates
Argentina,2016,2,387.927,Estimates
Argentina,2017,2,391.65,Estimates
Argentina,2018,2,381.834,Estimates
Argentina,2019,2,368.2945,Estimates
Argentina,2020,2,354.8595,Estimates
Argentina,2021,2,331.983,Estimates
Argentina,2022,2,293.636,Estimates
Argentina,2023,2,269.4105,Estimates
Argentina,1950,3,195.1135,Estimates
Argentina,1951,3,200.1985,Estimates
Argentina,1952,3,203.1225,Estimates
Argentina,1953,3,206.028,Estimates
Argentina,1954,3,209.9525,Estimates
Argentina,1955,3,213.319,Estimates
Argentina,1956,3,216.168,Estimates
Argentina,1957,3,218.397,Estimates
Argentina,1958,3,220.4795,Estimates
Argentina,1959,3,223.0385,Estimates
Argentina,1960,3,225.156,Estimates
Argentina,1961,3,225.5385,Estimates
Argentina,1962,3,227.864,Estimates
Argentina,1963,3,231.511,Estimates
Argentina,1964,3,233.116,Estimates
Argentina,1965,3,235.3355,Estimates
Argentina,1966,3,237.776,Estimates
Argentina,1967,3,238.9855,Estimates
Argentina,1968,3,238.504,Estimates
Argentina,1969,3,238.0345,Estimates
Argentina,1970,3,241.0675,Estimates
Argentina,1971,3,246.9715,Estimates
Argentina,1972,3,253.935,Estimates
Argentina,1973,3,261.0565,Estimates
Argentina,1974,3,269.0815,Estimates
Argentina,1975,3,277.6675,Estimates
Argentina,1976,3,286.413,Estimates
Argentina,1977,3,296.7405,Estimates
Argentina,1978,3,307.05,Estimates
Argentina,1979,3,316.7235,Estimates
Argentina,1980,3,326.445,Estimates
Argentina,1981,3,333.9505,Estimates
Argentina,1982,3,337.9085,Estimates
Argentina,1983,3,339.405,Estimates
Argentina,1984,3,339.468,Estimates
Argentina,1985,3,338.843,Estimates
Argentina,1986,3,338.013,Estimates
Argentina,1987,3,338.612,Estimates
Argentina,1988,3,339.404,Estimates
Argentina,1989,3,340.9295,Estimates
Argentina,1990,3,344.0035,Estimates
Argentina,1991,3,348.2005,Estimates
Argentina,1992,3,352.1255,Estimates
Argentina,1993,3,356.41,Estimates
Argentina,1994,3,360.927,Estimates
Argentina,1995,3,363.3265,Estimates
Argentina,1996,3,365.911,Estimates
Argentina,1997,3,368.566,Estimates
Argentina,1998,3,368.2735,Estimates
Argentina,1999,3,364.5325,Estimates
Argentina,2000,3,360.4525,Estimates
Argentina,2001,3,358.728,Estimates
Argentina,2002,3,360.4335,Estimates
Argentina,2003,3,361.269,Estimates
Argentina,2004,3,358.899,Estimates
Argentina,2005,3,357.0935,Estimates
Argentina,2006,3,356.087,Estimates
Argentina,2007,3,356.222,Estimates
Argentina,2008,3,359.4805,Estimates
Argentina,2009,3,362.6865,Estimates
Argentina,2010,3,363.6865,Estimates
Argentina,2011,3,370.7765,Estimates
Argentina,2012,3,377.4305,Estimates
Argentina,2013,3,380.1855,Estimates
Argentina,2014,3,383.987,Estimates
Argentina,2015,3,379.4225,Estimates
Argentina,2016,3,378.144,Estimates
Argentina,2017,3,387.8015,Estimates
Argentina,2018,3,391.5305,Estimates
Argentina,2019,3,381.725,Estimates
Argentina,2020,3,368.1815,Estimates
Argentina,2021,3,354.7415,Estimates
Argentina,2022,3,331.887,Estimates
Argentina,2023,3,293.5655,Estimates
Argentina,1950,4,189.4975,Estimates
Argentina,1951,4,195.269,Estimates
Argentina,1952,4,200.294,Estimates
Argentina,1953,4,203.136,Estimates
Argentina,1954,4,205.957,Estimates
Argentina,1955,4,209.8175,Estimates
Argentina,1956,4,213.1445,Estimates
Argentina,1957,4,215.9475,Estimates
Argentina,1958,4,218.1385,Estimates
Argentina,1959,4,220.221,Estimates
Argentina,1960,4,222.7725,Estimates
Argentina,1961,4,224.845,Estimates
Argentina,1962,4,225.2295,Estimates
Argentina,1963,4,227.607,Estimates
Argentina,1964,4,231.2635,Estimates
Argentina,1965,4,232.878,Estimates
Argentina,1966,4,235.128,Estimates
Argentina,1967,4,237.5935,Estimates
Argentina,1968,4,238.814,Estimates
Argentina,1969,4,238.3475,Estimates
Argentina,1970,4,237.8785,Estimates
Argentina,1971,4,240.866,Estimates
Argentina,1972,4,246.745,Estimates
Argentina,1973,4,253.723,Estimates
Argentina,1974,4,260.8415,Estimates
Argentina,1975,4,268.7545,Estimates
Argentina,1976,4,277.234,Estimates
Argentina,1977,4,285.966,Estimates
Argentina,1978,4,296.2865,Estimates
Argentina,1979,4,306.61,Estimates
Argentina,1980,4,316.3255,Estimates
Argentina,1981,4,326.1065,Estimates
Argentina,1982,4,333.681,Estimates
Argentina,1983,4,337.72,Estimates
Argentina,1984,4,339.2695,Estimates
Argentina,1985,4,339.3445,Estimates
Argentina,1986,4,338.711,Estimates
Argentina,1987,4,337.884,Estimates
Argentina,1988,4,338.4945,Estimates
Argentina,1989,4,339.2675,Estimates
Argentina,1990,4,340.7605,Estimates
Argentina,1991,4,343.765,Estimates
Argentina,1992,4,347.9005,Estimates
Argentina,1993,4,351.816,Estimates
Argentina,1994,4,356.096,Estimates
Argentina,1995,4,360.616,Estimates
Argentina,1996,4,363.018,Estimates
Argentina,1997,4,365.601,Estimates
Argentina,1998,4,368.2545,Estimates
Argentina,1999,4,367.969,Estimates
Argentina,2000,4,364.2365,Estimates
Argentina,2001,4,360.1575,Estimates
Argentina,2002,4,358.444,Estimates
Argentina,2003,4,360.1575,Estimates
Argentina,2004,4,360.9995,Estimates
Argentina,2005,4,358.6355,Estimates
Argentina,2006,4,356.839,Estimates
Argentina,2007,4,355.8515,Estimates
Argentina,2008,4,356.005,Estimates
Argentina,2009,4,359.2855,Estimates
Argentina,2010,4,362.5135,Estimates
Argentina,2011,4,363.533,Estimates
Argentina,2012,4,370.644,Estimates
Argentina,2013,4,377.312,Estimates
Argentina,2014,4,380.0735,Estimates
Argentina,2015,4,383.8795,Estimates
Argentina,2016,4,379.316,Estimates
Argentina,2017,4,378.0385,Estimates
Argentina,2018,4,387.7035,Estimates
Argentina,2019,4,391.441,Estimates
Argentina,2020,4,381.6335,Estimates
Argentina,2021,4,368.084,Estimates
Argentina,2022,4,354.6525,Estimates
Argentina,2023,4,331.8165,Estimates
Argentina,1950,5,184.304,Estimates
Argentina,1951,5,189.878,Estimates
Argentina,1952,5,195.582,Estimates
Argentina,1953,5,200.511,Estimates
Argentina,1954,5,203.26,Estimates
Argentina,1955,5,206.0135,Estimates
Argentina,1956,5,209.829,Estimates
Argentina,1957,5,213.103,Estimates
Argentina,1958,5,215.863,Estimates
Argentina,1959,5,218.0535,Estimates
Argentina,1960,5,220.129,Estimates
Argentina,1961,5,222.5995,Estimates
Argentina,1962,5,224.63,Estimates
Argentina,1963,5,225.062,Estimates
Argentina,1964,5,227.4465,Estimates
Argentina,1965,5,231.1045,Estimates
Argentina,1966,5,232.7455,Estimates
Argentina,1967,5,235.016,Estimates
Argentina,1968,5,237.4835,Estimates
Argentina,1969,5,238.7075,Estimates
Argentina,1970,5,238.239,Estimates
Argentina,1971,5,237.842,Estimates
Argentina,1972,5,240.919,Estimates
Argentina,1973,5,246.8185,Estimates
Argentina,1974,5,253.7855,Estimates
Argentina,1975,5,260.7095,Estimates
Argentina,1976,5,268.446,Estimates
Argentina,1977,5,276.911,Estimates
Argentina,1978,5,285.6335,Estimates
Argentina,1979,5,295.961,Estimates
Argentina,1980,5,306.316,Estimates
Argentina,1981,5,316.0745,Estimates
Argentina,1982,5,325.9085,Estimates
Argentina,1983,5,333.5495,Estimates
Argentina,1984,5,337.6305,Estimates
Argentina,1985,5,339.1875,Estimates
Argentina,1986,5,339.2535,Estimates
Argentina,1987,5,338.622,Estimates
Argentina,1988,5,337.805,Estimates
Argentina,1989,5,338.4005,Estimates
Argentina,1990,5,339.1485,Estimates
Argentina,1991,5,340.582,Estimates
Argentina,1992,5,343.5395,Estimates
Argentina,1993,5,347.6765,Estimates
Argentina,1994,5,351.5915,Estimates
Argentina,1995,5,355.8775,Estimates
Argentina,1996,5,360.399,Estimates
Argentina,1997,5,362.7975,Estimates
Argentina,1998,5,365.3745,Estimates
Argentina,1999,5,368.031,Estimates
Argentina,2000,5,367.754,Estimates
Argentina,2001,5,364.0225,Estimates
Argentina,2002,5,359.9395,Estimates
Argentina,2003,5,358.2175,Estimates
Argentina,2004,5,359.935,Estimates
Argentina,2005,5,360.7795,Estimates
Argentina,2006,5,358.4215,Estimates
Argentina,2007,5,356.643,Estimates
Argentina,2008,5,355.671,Estimates
Argentina,2009,5,355.8425,Estimates
Argentina,2010,5,359.1425,Estimates
Argentina,2011,5,362.386,Estimates
Argentina,2012,5,363.4255,Estimates
Argentina,2013,5,370.5475,Estimates
Argentina,2014,5,377.218,Estimates
Argentina,2015,5,379.984,Estimates
Argentina,2016,5,383.7865,Estimates
Argentina,2017,5,379.223,Estimates
Argentina,2018,5,377.9575,Estimates
Argentina,2019,5,387.631,Estimates
Argentina,2020,5,391.3655,Estimates
Argentina,2021,5,381.551,Estimates
Argentina,2022,5,368.004,Estimates
Argentina,2023,5,354.5865,Estimates
Argentina,1950,6,179.5275,Estimates
Argentina,1951,6,184.817,Estimates
Argentina,1952,6,190.3175,Estimates
Argentina,1953,6,195.9225,Estimates
Argentina,1954,6,200.755,Estimates
Argentina,1955,6,203.4325,Estimates
Argentina,1956,6,206.1365,Estimates
Argentina,1957,6,209.896,Estimates
Argentina,1958,6,213.1275,Estimates
Argentina,1959,6,215.8845,Estimates
Argentina,1960,6,218.067,Estimates
Argentina,1961,6,220.1065,Estimates
Argentina,1962,6,222.587,Estimates
Argentina,1963,6,224.6725,Estimates
Argentina,1964,6,225.119,Estimates
Argentina,1965,6,227.512,Estimates
Argentina,1966,6,231.1965,Estimates
Argentina,1967,6,232.8645,Estimates
Argentina,1968,6,235.145,Estimates
Argentina,1969,6,237.6175,Estimates
Argentina,1970,6,238.8275,Estimates
Argentina,1971,6,238.4165,Estimates
Argentina,1972,6,238.107,Estimates
Argentina,1973,6,241.2115,Estimates
Argentina,1974,6,247.093,Estimates
Argentina,1975,6,253.7915,Estimates
Argentina,1976,6,260.478,Estimates
Argentina,1977,6,268.2015,Estimates
Argentina,1978,6,276.6565,Estimates
Argentina,1979,6,285.384,Estimates
Argentina,1980,6,295.737,Estimates
Argentina,1981,6,306.124,Estimates
Argentina,1982,6,315.925,Estimates
Argentina,1983,6,325.814,Estimates
Argentina,1984,6,333.488,Estimates
Argentina,1985,6,337.573,Estimates
Argentina,1986,6,339.1205,Estimates
Argentina,1987,6,339.1875,Estimates
Argentina,1988,6,338.5645,Estimates
Argentina,1989,6,337.736,Estimates
Argentina,1990,6,338.31,Estimates
Argentina,1991,6,339.0075,Estimates
Argentina,1992,6,340.3985,Estimates
Argentina,1993,6,343.3535,Estimates
Argentina,1994,6,347.489,Estimates
Argentina,1995,6,351.409,Estimates
Argentina,1996,6,355.695,Estimates
